Name,Rating,Ease of Prep,Type,Prep Time,Photo,Ingredients
Jamaican Jerk Chicken,5,Average,Main Dish,30,,Chicken
Pasta Salad,3,Fairly Easy,Salad,20,,"Kielbasa,Noodles"
Lasagna,3,Fairly Easy,Main Dish,45,,"Sausage,Noodles"
Hearty Pancakes,4,Average,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://dl.airtable.com/9S7WQfpnRKexAdJ69gTf_Image%2029%20April%202017%2007%3A50%20AM.jpg),"Milk,Eggs,Corn Meal"
Summer Garden Couscous Salad,4,Hard,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://dl.airtable.com/axstjUrrQsW0KmaMLsbu_Image%2008%20May%202017%2007%3A00%20PM.jpg),Vegetarian
Squash Corn Chowder,2,Hard,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://dl.airtable.com/QmOvp4YhRK2CZ0uT2tHX_Image%2008%20May%202017%2007%3A06%20PM.jpg),"Vegetarian,Potatoes"
"White beans, tomatoes, and spinach",3,Fairly Easy,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://dl.airtable.com/eB7Jmc7MSAyzU4CsqdVc_Image%2010%20May%202017%2007%3A14%20PM.jpg),"Rice,Vegetarian,Beans,Eggs"
Spaghetti,5,Super Simple,Main Dish,15,,"Noodles,Marinara Sauce"
Scones,5,Super Simple,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://dl.airtable.com/GAUMr6ufTuACREdey1Xg_Image%2023%20June%202017%2011%3A21%20AM.jpg),
Pizza,5,Average,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://dl.airtable.com/Zj7GLRdSPCtgYIU4cqCA_Image%2014%20May%202017%2002%3A11%20PM.jpg),"Sausage,Cheese"
Stir-Fry,5,Fairly Easy,Main Dish,25,,"Chicken,Rice"
Rustic Italian Tortellini Soup,4,Hard,Main Dish,30,,"Sausage,Noodles,Cheese"
Swedish Meatballs,3,Very Difficult,Main Dish,90,,"Beef,Noodles,Eggs"
Barley Beef Skillet,4,Super Simple,Main Dish,25,,Beef
Southwest Beef & Rice Skillet,5,Super Simple,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://dl.airtable.com/SZJHXZVUTsOlVVxY3RPA_Image%2023%20June%202017%2011%3A22%20AM.jpg),"Beef,Rice,Beans"
Glazed Pork Chops with Corn Bread Dressing,4,Average,Main Dish,45,,Pork
Fried Rice,4,Super Simple,Main Dish,20,,"Chicken,Eggs,Rice"
Zesty Sausage & Beans,5,Fairly Easy,Main Dish,45,,"Sausage,Beans,Rice"
Prosciutto Pasta Toss,2,Fairly Easy,Main Dish,30,,"Noodles,Ham"
Cashew Chicken with Noodles,5,Average,Main Dish,20,,"Noodles,Chicken"
Herb Chicken with Honey Butter,3,Average,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://dl.airtable.com/pU7EugRQvGCCSJCasnyg_Image%2023%20May%202017%2005%3A26%20PM.jpg),Chicken
French Toast,4,Super Simple,Breakfast,10,,Eggs
Swedish Pancakes,4,Fairly Easy,Breakfast,20,,"Milk,Eggs"
Baked Cheddar Eggs & Potatoes,5,Fairly Easy,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://dl.airtable.com/3pBhVGRPTuurNiCYESls_Image%2020%20May%202017%2007%3A52%20PM.jpg),"Potatoes,Bacon,Cheese,Eggs"
Baked Mostaccioli,5,Super Simple,Main Dish,90,,"Noodles,Marinara Sauce,Cheese,Sausage"
